,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
0,WRaKdghPn,whoriental,An Asian woman (or less often a man) who is promiscuous.,,False,,,eng,,,,False,True,False,True,False,False,False,3,1,0,2019-04-11 20:25:57,2019-10-30 22:50:51
1,jTQCcisbD,whorientals,,,False,,,eng,whoriental,,,False,True,False,True,False,False,False,0,0,0,2019-04-11 20:27:05,2019-10-30 22:50:47
2,soUDwjTpk,gooky eyes,,,False,,,eng,,gook eyes,,False,True,False,False,False,False,False,2,1,0,2019-04-08 14:19:16,2019-10-30 22:33:20
3,uDVwuXLbi,gooklets,,,False,,96.0,eng,gooklet,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:23:51,2019-10-30 22:33:16
4,MHqMsGDUB,gooklet,,,False,,75.0,eng,,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:23:09,2019-10-30 22:33:12
5,hvHEkesvW,gookettes,,,False,,,eng,gookette,gook,,False,True,False,True,False,False,False,3,2,0,2019-04-08 14:22:02,2019-10-30 22:33:08
6,GTfRPDnWk,gookette,,,False,,100.0,eng,,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:20:58,2019-10-30 22:33:04
7,cNex4ZaCh,gook eyed,,,False,,,eng,,gook eyes,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:20:12,2019-10-30 22:32:59
8,UXQj23n9C,gookies,,,False,,,eng,gookie,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 17:06:21,2019-04-12 17:06:21
9,evC7urmnF,gookie,,,False,,,eng,,gook,,True,True,False,False,False,False,False,0,0,0,2019-04-12 17:05:41,2019-04-12 17:05:41
10,VwHrhRGUZ,goloids,,,False,,,eng,goloid,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 17:04:29,2019-04-12 17:04:29
11,dGjYptxhd,goloid,"Abbreviation of ""mongoloid""",,False,,,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 17:03:54,2019-04-12 17:03:54
12,wrirPQbk9,ginks,,,False,,,eng,gink,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 17:02:29,2019-04-12 17:02:29
13,ByToTroPs,gink,"Combination of ""gook"" and ""chink""",,False,,,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 17:01:57,2019-04-12 17:01:57
14,qptiXqxr9,dog eaters,,,False,,,eng,dog eater,,,False,True,False,False,False,False,False,0,0,0,2019-04-11 20:39:46,2019-04-11 20:39:46
15,VQD4HVJBA,dog eater,Conveys the idea that Asians consume dogs as part of their cuisine.,,False,,,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-04-11 20:39:07,2019-04-11 20:39:07
16,QoVZRw zv,yellow invaders,Accusative term for refugees or immigrants from Asia,,True,,,eng,yellow invader,,,False,True,False,False,False,False,False,1,1,0,2018-11-01 20:38:54,2018-11-01 20:38:54
17,TVZEjy7LJ,rice niggers,An Asian person,,True,,,eng,rice nigger,,,False,True,False,False,False,False,False,9,4,4,2018-11-01 20:36:39,2018-11-01 20:36:39
18,DAGYWQbgi,yellow invader,Accusative term for refugees or immigrants from Asia,,True,,97.0,eng,,,,False,True,False,False,False,False,False,2,1,0,2018-11-01 19:42:47,2018-11-01 19:42:47
19,VKmAhQTR2,rice nigger,An Asian person,,True,,93.0,eng,,,,False,True,False,False,False,False,False,18,12,1,2018-11-01 19:42:37,2018-11-01 19:42:37
