,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
0,niaHtmNyk,ABCs,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,31.0,eng,ABC,,,True,True,False,False,False,False,False,2,0,0,2018-11-01 20:33:27,2019-10-30 22:55:46
1,rnAN2dkU6,ABC,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,28.0,eng,,,,True,True,False,False,False,False,False,1,0,0,2013-08-20 18:40:47,2019-10-30 22:55:41
2,kjaivqpf7,spinks,"Plural of ""spink"", a person of mixed Hispanic and Chinese parentage.",American former professional boxer,False,,88.0,eng,,,,True,True,False,False,False,False,False,16,0,0,2018-11-01 20:38:36,2019-10-24 15:52:53
3,MaNMj7g7t,spink,A person of mixed Hispanic and Chinese parentage.,,False,,91.0,eng,,,,True,True,False,False,False,False,False,8,1,0,2013-05-11 12:42:43,2019-01-09 18:12:40
4,fj2ayYAbm,slopey,"A person of Asian descent, particularly Vietnamese or Chinese.",,False,,91.0,eng,,slope,,False,True,False,False,False,False,False,173,57,28,2013-05-10 18:31:36,2019-01-09 18:09:29
5,kgKxXeTfZ,winks,"A Caucasian who emulates, or associates with, Chinese people.",A deliberate blink of one eye,False,,,eng,wink,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:51,2018-11-01 20:38:51
6,UFd7Whsvy,slopes,"A person of Asian descent, particularly Vietnamese or Chinese.",Inclination,False,,75.0,eng,slope,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:54,2018-11-01 20:36:54
7,HGrYfyWiz,slopies,"A person of Asian descent, particularly Vietnamese or Chinese.",,False,,,eng,slopey,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:54,2018-11-01 20:36:54
8,sXPCcNWnk,slants,"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",Angle or slope,False,,,eng,slant,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:53,2018-11-01 20:36:53
9,CjTxxNae8,slopeheads,"A person of Asian descent, particularly Vietnamese or Chinese.",,False,,,eng,slopehead,,,False,True,False,False,False,False,False,6,3,1,2018-11-01 20:36:53,2018-11-01 20:36:53
10,pVGfoJcrT,slant eyes,"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",,True,,,eng,slant eye,,,False,True,False,False,False,False,False,151,108,25,2018-11-01 20:36:52,2018-11-01 20:36:52
11,ntnTtkfis,sideways vaginas,"An Asian woman, particularly of Chinese descent.",,True,,100.0,eng,sideways vagina,,,True,True,False,False,False,False,False,49,16,3,2018-11-01 20:36:51,2018-11-01 20:36:51
12,AxthmQzrx,sideways cooters,"An Asian woman, particularly of Chinese descent.",,True,,,eng,sideways cooter,,,True,True,False,False,False,False,False,1,0,0,2018-11-01 20:36:50,2018-11-01 20:36:50
13,VoKTKJMXA,sideways pussies,"An Asian woman, particularly of Chinese descent.",,True,,88.0,eng,sideways pussy,,,True,True,False,False,False,False,False,22,7,0,2018-11-01 20:36:50,2018-11-01 20:36:50
